t_s,d1_m,d2_m,vs_mps,vus_mps,u_N,road_amp_m,road_freq_rads
26.1,-8.01836,3.24014,0.06678,0.02737,5.6075,0.0150,25.00
26.2,8.55012,13.75871,0.01285,-0.05733,-5.7891,0.0150,25.00
26.3,-7.15283,19.78832,-0.01886,0.03574,-6.2164,0.0150,25.00
26.4,-5.77356,1.82052,-0.00514,-0.00069,-1.3419,0.0150,25.00
26.5,-0.40331,1.05872,-0.03351,0.00081,-1.9424,0.0150,25.00
26.6,-2.44499,3.73102,0.03454,0.01197,1.7996,0.0150,25.00
26.7,3.11065,0.75274,-0.03764,-0.03215,-4.9383,0.0150,25.00
26.8,-6.19658,2.64853,0.00785,0.03692,-3.8709,0.0150,25.00
26.9,-2.58662,7.48616,0.03973,-0.00257,1.7045,0.0150,25.00
27.0,-0.41758,-11.04369,-0.01995,0.02663,-0.2298,0.0150,25.00
27.1,-0.78718,6.74367,0.07918,0.03961,6.5694,0.0150,25.00
27.2,1.88040,-4.04014,-0.13782,-0.04733,-9.7889,0.0150,25.00
27.3,-11.96394,-0.19427,-0.01203,0.00244,-2.8762,0.0150,25.00
27.4,-4.80985,5.57359,0.05844,-0.02331,2.4043,0.0150,25.00
27.5,2.62755,6.10064,0.03601,0.03768,1.8697,0.0150,25.00
27.6,-2.63559,-3.67013,0.03989,0.08667,4.8747,0.0150,25.00
27.7,7.65209,1.34413,-0.06562,-0.05341,-7.5920,0.0150,25.00
27.8,-6.18790,3.26456,-0.01705,0.00756,-4.0918,0.0150,25.00
27.9,-4.71731,9.38782,-0.03132,-0.06815,-6.6980,0.0150,25.00
28.0,-6.25033,2.10218,0.00254,0.03490,1.0883,0.0150,25.00
28.1,-2.08609,6.71279,0.04058,0.01362,2.4842,0.0150,25.00
28.2,2.52002,-0.35964,-0.02680,-0.00726,-2.1658,0.0150,25.00
28.3,-2.75951,-3.17638,0.04765,0.05676,4.3815,0.0150,25.00
28.4,7.16194,21.88042,-0.01128,-0.07045,-4.6759,0.0150,25.00
28.5,-12.64385,12.30981,-0.04780,0.05022,-6.8513,0.0150,25.00
28.6,-6.27494,3.49006,0.04217,-0.00016,1.7124,0.0150,25.00
28.7,3.84420,-4.87817,0.02154,0.02751,4.3505,0.0150,25.00
28.8,1.18634,6.12861,0.06103,0.06051,4.7628,0.0150,25.00
28.9,8.30024,20.49876,-0.01386,-0.06606,-4.7750,0.0150,25.00
29.0,-11.50958,12.11174,-0.04113,0.04826,-6.3327,0.0150,25.00
29.2,-7.15898,-0.21725,0.02570,-0.00036,1.4363,0.0150,25.00
29.2,2.70221,-1.90313,0.00888,0.00908,1.1859,0.0150,25.00
29.3,-0.15382,1.34436,0.01400,0.03890,0.4537,0.0150,25.00
29.4,4.72440,-0.38225,-0.03246,-0.02144,-4.1360,0.0150,25.00
29.6,-2.99283,19.01146,0.01163,0.01923,-2.6811,0.0150,25.00
29.7,-4.53541,2.73578,0.01444,0.00562,0.7051,0.0150,25.00
29.8,-1.74078,-12.18946,-0.03886,0.01684,-1.7185,0.0150,25.00
29.9,-2.65920,2.83107,0.07561,0.03890,6.5216,0.0150,25.00
30.0,4.00866,-4.70669,-0.12214,-0.05865,-11.1115,0.0150,25.00
30.1,-14.12448,1.28687,-0.03782,-0.00089,-6.9965,0.0150,25.00
30.2,-7.74091,2.70040,0.03128,-0.02615,0.8651,0.0150,25.00
30.3,2.47776,11.85891,0.02625,0.01260,0.0323,0.0150,25.00
30.4,-2.51469,1.29935,0.01600,0.05529,2.1235,0.0150,25.00
30.5,4.75055,-3.94635,-0.01891,-0.00459,-0.9492,0.0150,25.00
30.6,-0.20220,8.67414,0.02217,0.01734,0.7477,0.0150,25.00
30.7,-0.54861,4.67790,-0.00260,-0.02647,-3.1163,0.0150,25.00
30.8,-3.52296,-9.55872,-0.02438,0.04757,0.8355,0.0150,25.00
30.9,-0.84796,4.87496,0.06399,0.01855,4.3723,0.0150,25.00
31.0,4.24887,-5.32734,-0.08017,-0.03632,-6.8369,0.0150,25.00
31.1,-8.56932,1.61760,0.03861,0.04019,2.2021,0.0150,25.00
31.2,9.10776,18.77417,0.03808,-0.09373,-3.9776,0.0150,25.00
31.3,-8.57984,6.40168,-0.06461,0.04929,-3.0607,0.0150,25.00
31.4,-7.12819,4.64406,0.00545,-0.01690,-1.1973,0.0150,25.00
31.5,0.35044,-5.60656,-0.00015,0.00581,1.7619,0.0150,25.00
31.6,0.96430,2.21996,0.06278,0.04024,4.8498,0.0150,25.00
31.7,6.75108,14.01009,-0.00258,-0.03769,-1.9277,0.0150,25.00
31.8,-9.75028,-3.89596,-0.01395,0.11028,0.9490,0.0150,25.00
31.9,3.23522,9.34204,0.09771,-0.02028,5.7544,0.0150,25.00
32.0,-0.46494,-8.21315,-0.14696,-0.03762,-10.1872,0.0150,25.00
32.1,-10.89113,5.78986,-0.03960,-0.05246,-6.7063,0.0150,25.00
32.2,-4.37966,3.21499,0.00855,-0.07431,-1.0418,0.0150,25.00
32.3,-1.28045,-2.25342,0.00999,-0.00107,0.6818,0.0150,25.00
32.4,-5.88682,1.13090,0.01513,0.03547,0.8083,0.0150,25.00
32.5,3.25307,0.54414,0.01815,0.03583,2.5591,0.0150,25.00
32.6,-2.16967,-1.85029,0.01588,0.05556,2.4223,0.0150,25.00
32.7,7.49216,4.02728,0.00659,-0.03014,-0.6046,0.0150,25.00
32.8,-1.04155,4.01014,0.04199,0.07007,1.6762,0.0150,25.00
32.9,8.97456,22.44185,0.04778,-0.03774,-1.1253,0.0150,25.00
33.0,-6.33528,-16.43456,-0.13065,0.02898,-7.6465,0.0150,25.00
33.1,-7.75112,0.44807,0.02566,-0.00962,1.1604,0.0150,25.00
33.2,5.13595,-0.36983,0.02348,-0.05462,0.5220,0.0150,25.00
33.3,1.23630,3.53755,-0.00147,0.01165,0.1135,0.0150,25.00
33.4,-3.24453,7.20744,0.02838,-0.00000,-0.4357,0.0150,25.00
33.5,-1.27401,2.81003,0.01056,0.05262,1.6465,0.0150,25.00
33.6,-2.84896,-1.55012,0.01232,0.04908,1.9139,0.0150,25.00
33.7,2.29837,0.58625,-0.03322,-0.01356,-1.7885,0.0150,25.00
33.8,-2.98092,-0.71648,0.02423,0.03815,0.4110,0.0150,25.00
34.0,6.52417,17.83370,0.01748,-0.07381,-2.6236,0.0150,25.00
34.1,-5.75726,-8.54795,-0.00953,0.09388,2.9278,0.0150,25.00
34.2,0.14869,3.37938,0.06578,0.00191,3.4625,0.0150,25.00
34.3,0.01991,-7.56389,-0.14950,-0.04175,-9.5197,0.0150,25.00
34.4,-11.71361,2.68537,-0.01227,-0.02384,-1.4581,0.0150,25.00
34.5,-3.58810,2.73594,0.04366,-0.05394,1.5143,0.0150,25.00
34.6,0.96922,-2.91383,0.03537,0.03433,2.5943,0.0150,25.00
34.7,-1.19761,3.48293,0.06070,0.06087,4.7556,0.0150,25.00
34.8,1.21316,-13.34238,-0.06946,0.02181,-2.8447,0.0150,25.00
34.9,-4.31160,-3.46521,0.05182,0.03600,3.6011,0.0150,25.00
35.0,7.76611,12.48982,-0.06998,-0.10048,-10.4822,0.0150,25.00
35.1,-14.56689,9.20686,-0.07648,0.02440,-11.1677,0.0150,25.00
