Time,XPosition,XVelocity,Angle,AngularVelocity
16.569,8.787291735731908e-7,0.0000015258414873205589,8.504274990883687e-7,-9.190945634813452e-7
16.57,8.802550150605113e-7,0.0000015165567674051303,8.495115277895593e-7,-9.222036374236613e-7
16.571,8.817715718279164e-7,0.0000015072851691274224,8.485924336554262e-7,-9.252992929402173e-7
16.572,8.832788569970439e-7,0.0000014980267189064456,8.476702308968243e-7,-9.283815432483153e-7
16.573,8.847768837159503e-7,0.0000014887814430665784,8.467449319482512e-7,-9.314504017205176e-7
16.574,8.862656651590169e-7,0.0000014795493677434394,8.458165510205617e-7,-9.345058816401201e-7
16.575,8.877452145267604e-7,0.000001470330518976339,8.448851005482538e-7,-9.3754799645127e-7
16.576,8.892155450457367e-7,0.0000014611249226142072,8.439505947421821e-7,-9.405767595143128e-7
16.577,8.906766699683509e-7,0.0000014519326044081015,8.430130460368446e-7,-9.435921843557291e-7
16.578,8.92128602572759e-7,0.0000014427535899171883,8.420724686430958e-7,-9.465942844232988e-7
16.579,8.935713561626762e-7,0.0000014335879044992612,8.411288767717906e-7,-9.495830733358608e-7
16.580000000000002,8.950049440671755e-7,0.0000014244355734123639,8.401822828574268e-7,-9.525585649142319e-7
16.581,8.964293796405879e-7,0.0000014152966218240548,8.392326993345023e-7,-9.555207729066473e-7
16.582,8.978446762624119e-7,0.0000014061710747085503,8.382801404138718e-7,-9.58469710958555e-7
16.583000000000002,8.992508473371205e-7,0.000001397058956836133,8.3732462030639e-7,-9.614053928911916e-7
16.584,9.006479062939567e-7,0.000001387960292874707,8.363661514465548e-7,-9.64327832736119e-7
16.585,9.020358665868314e-7,0.00000137887510739913,8.354047462688641e-7,-9.67237044460891e-7
16.586000000000002,9.034147416942305e-7,0.0000013698034247884404,8.344404189841725e-7,-9.701330419386228e-7
16.587,9.04784545119019e-7,0.0000013607452693173931,8.334731820269781e-7,-9.73015839226294e-7
16.588,9.061452903883364e-7,0.0000013517006650625014,8.325030496081354e-7,-9.758854503230884e-7
16.589,9.07496991053399e-7,0.000001342669635994793,8.315300341621423e-7,-9.787418894199526e-7
16.59,9.088396606893937e-7,0.000001333652205988089,8.305541481234968e-7,-9.81585170653956e-7
16.591,9.101733128953819e-7,0.0000013246483987162204,8.295754057030535e-7,-9.844153080812939e-7
16.592,9.114979612940981e-7,0.0000013156582376426443,8.285938211116672e-7,-9.872323159556256e-7
16.593,9.128136195317407e-7,0.0000013066817462242608,8.276094050074789e-7,-9.900362087619344e-7
16.594,9.14120301277965e-7,0.000001297718947623321,8.266221733777002e-7,-9.928270006655571e-7
16.595,9.154180202255883e-7,0.0000012887698649858428,8.25632136880472e-7,-9.956047062811387e-7
16.596,9.167067900905741e-7,0.000001279834521263337,8.246393097266491e-7,-9.98369339935229e-7
16.597,9.179866246118374e-7,0.0000012709129392966987,8.236437043507294e-7,-0.0000010011209161339613
16.598,9.192575375511341e-7,0.0000012620051417214417,8.226453349635676e-7,-0.000001003859449346318
16.599,9.205195426928556e-7,0.0000012531111510605618,8.216442139996616e-7,-0.0000010065849542563235
16.6,9.217726538439161e-7,0.0000012442309897330384,8.206403538935092e-7,-0.0000010092974455170543
16.601,9.230168848336491e-7,0.0000012353646799512817,8.196337688559652e-7,-0.0000010119969377229143
16.602,9.242522495136004e-7,0.0000012265122438130166,8.186244713215274e-7,-0.0000010146834456872222
16.603,9.254787617574135e-7,0.0000012176737033097212,8.176124737246937e-7,-0.000001017356984199416
16.604,9.266964354607232e-7,0.0000012088490802241327,8.165977902763188e-7,-0.0000010200175679975328
16.605,9.279052845409473e-7,0.0000012000383962222027,8.155804334109007e-7,-0.0000010226652120456064
16.606,9.291053229371695e-7,0.0000011912416728616092,8.145604155629371e-7,-0.0000010252999312906348
16.607,9.30296564610031e-7,0.0000011824589314893304,8.135377509432828e-7,-0.0000010279217406348273
16.608,9.314790235415204e-7,0.0000011736901934357106,8.125124502100789e-7,-0.0000010305306552127739
16.609,9.326527137349561e-7,0.0000011649354797253993,8.114845293505368e-7,-0.0000010331266898722729
16.61,9.338176492146815e-7,0.0000011561948113559706,8.104539990227977e-7,-0.0000010357098599464462
16.611,9.349738440260374e-7,0.0000011474682092220416,8.094208716613593e-7,-0.0000010382801805156721
16.612000000000002,9.361213122352594e-7,0.0000011387556940039286,8.083851614770765e-7,-0.0000010408376665981983
16.613,9.372600679292633e-7,0.0000011300572862586155,8.073468809044471e-7,-0.0000010433823334563996
16.614,9.38390125215522e-7,0.000001121373006428336,8.063060423779689e-7,-0.0000010459141963569592
16.615000000000002,9.395114982219503e-7,0.0000011127028747383516,8.052626601084967e-7,-0.0000010484332705428894
16.616,9.406242010966887e-7,0.000001104046911289189,8.042167465305283e-7,-0.0000010509395715100356
16.617,9.417282480079779e-7,0.0000010954051360654252,8.031683140785617e-7,-0.0000010534331147631263
16.618000000000002,9.428236531440433e-7,0.0000010867775689355685,8.021173751870947e-7,-0.0000010559139157871266
16.619,9.439104307129789e-7,0.0000010781642296507854,8.010639422906252e-7,-0.0000010583819900476255
16.62,9.449885949426297e-7,0.0000010695651378435156,8.00008027823651e-7,-0.0000010608373529949891
16.621,9.460581600804732e-7,0.0000010609803129240732,7.989496459970269e-7,-0.0000010632800200688758
16.622,9.471191403933972e-7,0.0000010524097741728874,7.978888092452507e-7,-0.0000010657100069785804
16.623,9.481715501675701e-7,0.0000010438535407494436,7.968255300028204e-7,-0.000001068127329459074
16.624,9.492154037083196e-7,0.000001035311631692336,7.957598207042338e-7,-0.0000010705320032418483
16.625,9.502507153400119e-7,0.0000010267840659181608,7.946916937839887e-7,-0.0000010729240440547439
16.626,9.512774994059301e-7,0.0000010182708622202949,7.936211616765831e-7,-0.0000010753034676255564
16.627,9.522957702681504e-7,0.0000010097720392676937,7.925482368165149e-7,-0.0000010776702896860253
16.628,9.53305542307418e-7,0.00000100128761550169,7.914729334146386e-7,-0.0000010800245259757474
16.629,9.543068299229197e-7,9.928176092284237e-7,7.903952639054523e-7,-0.0000010823661925218824
16.63,9.552996475321481e-7,9.843620387300109e-7,7.89315238947097e-7,-0.0000010846953053945704
16.631,9.562840095708782e-7,9.759209220691803e-7,7.882328727504273e-7,-0.0000010870118804012527
16.632,9.572599304929474e-7,9.67494277171683e-7,7.871481777499412e-7,-0.0000010893159336100767
16.633,9.582274247701191e-7,9.590821218341675e-7,7.860611663801365e-7,-0.0000010916074811379916
